Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Malaria,cough,,,,,,,,,,,,,,,,
Tuberculosis,muscle_pain,diarrhoea,pain_during_bowel_movements,lack_of_concentration,phlegm,,,,,,,,,,,,
Dengue,acidity,pain_during_bowel_movements,red_spots_over_body,itching,red_sore_around_nose,fatigue,,,,,,,,,,,
Dengue,stiff_neck,increased_appetite,pain_in_anal_region,vomiting,depression,,,,,,,,,,,,
Heart attack,headache,pain_during_bowel_movements,bloody_stool,stomach_pain,weakness_in_limbs,depression,,,,,,,,,,,
Acne,swollen_blood_vessels,visual_disturbances,stomach_pain,,,,,,,,,,,,,,
Arthritis,weight_gain,spotting_ urination,,,,,,,,,,,,,,,
Hepatitis E,fluid_overload,spotting_ urination,,,,,,,,,,,,,,,
Varicose veins,blood_in_sputum,slurred_speech,dischromic _patches,redness_of_eyes,,,,,,,,,,,,,
Diabetes,cold_hands_and_feets,knee_pain,painful_walking,swollen_blood_vessels,,,,,,,,,,,,,
Chicken pox,cramps,shivering,constipation,throat_irritation,,,,,,,,,,,,,
Diabetes,skin_peeling,high_fever,polyuria,loss_of_smell,,,,,,,,,,,,,
Malaria,palpitations,small_dents_in_nails,cough,foul_smell_of urine,bloody_stool,,,,,,,,,,,,
Hepatitis B,depression,patches_in_throat,weakness_in_limbs,spotting_ urination,,,,,,,,,,,,,
Allergy,chest_pain,irregular_sugar_level,toxic_look_(typhos),swelling_joints,dark_urine,,,,,,,,,,,,
Common Cold,receiving_blood_transfusion,yellowish_skin,depression,cold_hands_and_feets,enlarged_thyroid,,,,,,,,,,,,
Fungal infection,bruising,family_history,continuous_feel_of_urine,knee_pain,,,,,,,,,,,,,
Urinary tract infection,increased_appetite,swelling_of_stomach,drying_and_tingling_lips,cold_hands_and_feets,joint_pain,,,,,,,,,,,,
Hypothyroidism,swelled_lymph_nodes,redness_of_eyes,chest_pain,red_sore_around_nose,pain_in_anal_region,swelling_of_stomach,,,,,,,,,,,
Heart attack,acidity,mucoid_sputum,,,,,,,,,,,,,,,
Osteoarthristis,breathlessness,headache,,,,,,,,,,,,,,,
Malaria,redness_of_eyes,neck_pain,dehydration,pain_in_anal_region,cough,,,,,,,,,,,,
Fungal infection,receiving_unsterile_injections,malaise,chills,cough,mild_fever,muscle_weakness,,,,,,,,,,,
Psoriasis,distention_of_abdomen,headache,fluid_overload,,,,,,,,,,,,,,
Allergy,increased_appetite,obesity,swelled_lymph_nodes,swelling_joints,weight_loss,,,,,,,,,,,,
Common Cold,sweating,fluid_overload,swelled_lymph_nodes,,,,,,,,,,,,,,
Varicose veins,ulcers_on_tongue,,,,,,,,,,,,,,,,
Chronic cholestasis,movement_stiffness,mild_fever,dark_urine,drying_and_tingling_lips,restlessness,chills,,,,,,,,,,,
Hypothyroidism,cough,chest_pain,acute_liver_failure,dehydration,movement_stiffness,silver_like_dusting,,,,,,,,,,,
Osteoarthristis,nodal_skin_eruptions,,,,,,,,,,,,,,,,
Urinary tract infection,patches_in_throat,restlessness,spinning_movements,sweating,chills,,,,,,,,,,,,
Chicken pox,blood_in_sputum,spinning_movements,swelling_joints,belly_pain,enlarged_thyroid,dizziness,,,,,,,,,,,
Varicose veins,mood_swings,dischromic _patches,,,,,,,,,,,,,,,
Gastroenteritis,lack_of_concentration,yellowish_skin,family_history,patches_in_throat,,,,,,,,,,,,,
Dengue,irregular_sugar_level,burning_micturition,lack_of_concentration,pain_during_bowel_movements,swollen_blood_vessels,,,,,,,,,,,,
Typhoid,fatigue,knee_pain,bladder_discomfort,redness_of_eyes,abdominal_pain,,,,,,,,,,,,
Bronchial Asthma,sweating,bruising,prominent_veins_on_calf,pus_filled_pimples,,,,,,,,,,,,,
Hepatitis B,irritation_in_anus,brittle_nails,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),joint_pain,yellow_urine,,,,,,,,,,,,,,,
Chronic cholestasis,swollen_blood_vessels,extra_marital_contacts,mild_fever,,,,,,,,,,,,,,
Cervical spondylosis,scurring,,,,,,,,,,,,,,,,
GERD,cramps,irregular_sugar_level,depression,sweating,vomiting,,,,,,,,,,,,
Hepatitis B,redness_of_eyes,history_of_alcohol_consumption,painful_walking,itching,fluid_overload,,,,,,,,,,,,
Chronic cholestasis,altered_sensorium,,,,,,,,,,,,,,,,
Hepatitis D,rusty_sputum,passage_of_gases,joint_pain,extra_marital_contacts,history_of_alcohol_consumption,prominent_veins_on_calf,,,,,,,,,,,
Tuberculosis,throat_irritation,neck_pain,fatigue,passage_of_gases,joint_pain,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),indigestion,obesity,nausea,,,,,,,,,,,,,,
hepatitis A,abnormal_menstruation,yellow_crust_ooze,drying_and_tingling_lips,,,,,,,,,,,,,,
GERD,congestion,history_of_alcohol_consumption,yellow_urine,,,,,,,,,,,,,,
AIDS,indigestion,anxiety,fatigue,knee_pain,,,,,,,,,,,,,
