Disease,Description
(vertigo) Paroymsal  Positional Vertigo,Synthetic description for (vertigo) Paroymsal  Positional Vertigo.
AIDS,Synthetic description for AIDS.
Acne,Synthetic description for Acne.
Alcoholic hepatitis,Synthetic description for Alcoholic hepatitis.
Allergy,Synthetic description for Allergy.
Arthritis,Synthetic description for Arthritis.
Bronchial Asthma,Synthetic description for Bronchial Asthma.
Cervical spondylosis,Synthetic description for Cervical spondylosis.
Chicken pox,Synthetic description for Chicken pox.
Chronic cholestasis,Synthetic description for Chronic cholestasis.
Common Cold,Synthetic description for Common Cold.
Dengue,Synthetic description for Dengue.
Diabetes,Synthetic description for Diabetes.
Dimorphic hemmorhoids(piles),Synthetic description for Dimorphic hemmorhoids(piles).
Drug Reaction,Synthetic description for Drug Reaction.
Fungal infection,Synthetic description for Fungal infection.
GERD,Synthetic description for GERD.
Gastroenteritis,Synthetic description for Gastroenteritis.
Heart attack,Synthetic description for Heart attack.
Hepatitis B,Synthetic description for Hepatitis B.
Hepatitis C,Synthetic description for Hepatitis C.
Hepatitis D,Synthetic description for Hepatitis D.
Hepatitis E,Synthetic description for Hepatitis E.
Hypertension,Synthetic description for Hypertension.
Hyperthyroidism,Synthetic description for Hyperthyroidism.
Hypoglycemia,Synthetic description for Hypoglycemia.
Hypothyroidism,Synthetic description for Hypothyroidism.
Impetigo,Synthetic description for Impetigo.
Jaundice,Synthetic description for Jaundice.
Malaria,Synthetic description for Malaria.
Migraine,Synthetic description for Migraine.
Osteoarthristis,Synthetic description for Osteoarthristis.
Paralysis (brain hemorrhage),Synthetic description for Paralysis (brain hemorrhage).
Peptic ulcer diseae,Synthetic description for Peptic ulcer diseae.
Pneumonia,Synthetic description for Pneumonia.
Psoriasis,Synthetic description for Psoriasis.
Tuberculosis,Synthetic description for Tuberculosis.
Typhoid,Synthetic description for Typhoid.
Urinary tract infection,Synthetic description for Urinary tract infection.
Varicose veins,Synthetic description for Varicose veins.
hepatitis A,Synthetic description for hepatitis A.
