Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
(vertigo) Paroymsal  Positional Vertigo,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
AIDS,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Acne,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Alcoholic hepatitis,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Allergy,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Arthritis,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Bronchial Asthma,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Cervical spondylosis,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Chicken pox,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Chronic cholestasis,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Common Cold,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Dengue,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Diabetes,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Dimorphic hemmorhoids(piles),Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Drug Reaction,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Fungal infection,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
GERD,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Gastroenteritis,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Heart attack,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Hepatitis B,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Hepatitis C,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Hepatitis D,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Hepatitis E,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Hypertension,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Hyperthyroidism,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Hypoglycemia,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Hypothyroidism,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Impetigo,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Jaundice,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Malaria,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Migraine,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Osteoarthristis,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Paralysis (brain hemorrhage),Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Peptic ulcer diseae,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Pneumonia,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Psoriasis,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Tuberculosis,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Typhoid,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Urinary tract infection,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
Varicose veins,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
hepatitis A,Synthetic precaution 1,Synthetic precaution 2,Synthetic precaution 3,Synthetic precaution 4
