Symptom,weight
abdominal_pain,2
abnormal_menstruation,4
acidity,3
acute_liver_failure,2
altered_sensorium,4
anxiety,2
back_pain,3
belly_pain,5
blackheads,5
bladder_discomfort,5
blister,2
blood_in_sputum,3
bloody_stool,4
blurred_and_distorted_vision,5
breathlessness,2
brittle_nails,3
bruising,5
burning_micturition,1
chest_pain,5
chills,4
cold_hands_and_feets,4
coma,1
congestion,3
constipation,4
continuous_feel_of_urine,5
continuous_sneezing,3
cough,2
cramps,3
dark_urine,3
dehydration,5
depression,1
diarrhoea,2
dischromic _patches,4
distention_of_abdomen,3
dizziness,1
drying_and_tingling_lips,5
enlarged_thyroid,5
excessive_hunger,2
extra_marital_contacts,5
family_history,3
fast_heart_rate,4
fatigue,3
fluid_overload,3
foul_smell_of urine,1
headache,1
high_fever,1
hip_joint_pain,4
history_of_alcohol_consumption,1
increased_appetite,4
indigestion,5
inflammatory_nails,1
internal_itching,1
irregular_sugar_level,3
irritability,5
irritation_in_anus,1
itching,1
joint_pain,2
knee_pain,2
lack_of_concentration,5
lethargy,3
loss_of_appetite,4
loss_of_balance,4
loss_of_smell,3
malaise,5
mild_fever,4
mood_swings,4
movement_stiffness,3
mucoid_sputum,4
muscle_pain,4
muscle_wasting,1
muscle_weakness,2
nausea,4
neck_pain,3
nodal_skin_eruptions,1
obesity,1
pain_behind_the_eyes,1
pain_during_bowel_movements,3
pain_in_anal_region,2
painful_walking,2
palpitations,3
passage_of_gases,3
patches_in_throat,1
phlegm,3
polyuria,3
prominent_veins_on_calf,4
puffy_face_and_eyes,4
pus_filled_pimples,1
receiving_blood_transfusion,4
receiving_unsterile_injections,4
red_sore_around_nose,2
red_spots_over_body,1
redness_of_eyes,4
restlessness,1
runny_nose,3
rusty_sputum,4
scurring,5
shivering,5
silver_like_dusting,5
sinus_pressure,2
skin_peeling,4
skin_rash,2
slurred_speech,1
small_dents_in_nails,5
spinning_movements,2
spotting_ urination,2
stiff_neck,5
stomach_bleeding,1
stomach_pain,4
sunken_eyes,4
sweating,5
swelled_lymph_nodes,1
swelling_joints,2
swelling_of_stomach,3
swollen_blood_vessels,5
swollen_extremeties,3
swollen_legs,3
throat_irritation,5
toxic_look_(typhos),1
ulcers_on_tongue,1
unsteadiness,4
visual_disturbances,3
vomiting,1
watering_from_eyes,4
weakness_in_limbs,4
weakness_of_one_body_side,1
weight_gain,5
weight_loss,1
yellow_crust_ooze,3
yellow_urine,5
yellowing_of_eyes,1
yellowish_skin,2
